
서칭뷰 키워드그룹 : 회차별 키워드셋
조회일자:20260325

! 각 키워드 그룹에 속한 세부키워드 리스트입니다.
! 조회 시점에 입찰개시일이 도래하였으며 아직 집행시작 전인 리스트에 대해서만 조회가 가능합니다.

! 세부키워드 리스트는 집행 회차별로 변경될 수 있습니다.

집행회차,집행기간,대분류,소분류,키워드그룹,세부키워드
202615,20260406~20260412,가구/인테리어,가구,모션데스크,가성비모션데스크
202615,20260406~20260412,가구/인테리어,가구,모션데스크,듀얼모터모션데스크
202615,20260406~20260412,가구/인테리어,가구,모션데스크,모션데스크
202615,20260406~20260412,가구/인테리어,가구,모션데스크,모션데스크1000
202615,20260406~20260412,가구/인테리어,가구,모션데스크,모션데스크1200
202615,20260406~20260412,가구/인테리어,가구,모션데스크,모션데스크1400
202615,20260406~20260412,가구/인테리어,가구,모션데스크,모션데스크1600
202615,20260406~20260412,가구/인테리어,가구,모션데스크,모션데스크1800
202615,20260406~20260412,가구/인테리어,가구,모션데스크,모션데스크상판
202615,20260406~20260412,가구/인테리어,가구,모션데스크,모션데스크책상
202615,20260406~20260412,가구/인테리어,가구,모션데스크,모션데스크추천
202615,20260406~20260412,가구/인테리어,가구,모션데스크,수동모션데스크
202615,20260406~20260412,가구/인테리어,가구,모션데스크,원목모션데스크
202615,20260406~20260412,가구/인테리어,가구,모션데스크,전동모션데스크
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,거실사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,높은사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,높이조절사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,대리석사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,미니사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,베드사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,사무실사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,소파사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,쇼파사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,심플한사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,아크릴사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,원목사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,원형사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,이동식사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,접이식사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,책상사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,철제사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,침대사이드테이블
202615,20260406~20260412,가구/인테리어,가구,사이드테이블,캠핑사이드테이블
202615,20260406~20260412,가구/인테리어,가구,선반,2단선반
202615,20260406~20260412,가구/인테리어,가구,선반,3단선반
202615,20260406~20260412,가구/인테리어,가구,선반,미니선반
202615,20260406~20260412,가구/인테리어,가구,선반,베란다선반
202615,20260406~20260412,가구/인테리어,가구,선반,벽선반
