
서칭뷰 키워드그룹 : 최근낙찰가
조회일자:20260526

! 각 키워드 그룹의 조회 시점 기준으로 가장 최근에 결과가 발표된 정기입찰 건의 낙찰가 입니다.

대분류,소분류,키워드그룹,최근낙찰가
가구/인테리어,가구,모션데스크,310000
가구/인테리어,가구,사이드테이블,200000
가구/인테리어,가구,선반,640000
가구/인테리어,가구,소파,1730000
가구/인테리어,가구,식탁,1310000
가구/인테리어,가구,책상및책장,1310000
가구/인테리어,가구,침대및매트리스,3620000
가구/인테리어,인테리어,마루,210000
가구/인테리어,인테리어,베개,800000
가구/인테리어,인테리어,블라인드,2180000
가구/인테리어,인테리어,슬라이딩도어,200000
가구/인테리어,인테리어,어닝/파고라,200000
가구/인테리어,인테리어,인조잔디,200000
가구/인테리어,인테리어,인테리어,780000
가구/인테리어,인테리어,조명,390000
가구/인테리어,인테리어,커튼,800000
가구/인테리어,인테리어,토퍼,400000
가구/인테리어,인테리어,폴딩도어,200000
건설/부동산,건설사,건설사일반,360000
건설/부동산,주택,아파트,1280000
게임,게임,FPS,200000
게임,게임,RPG,530000
게임,게임,VR,200000
게임,게임,모바일게임,460000
게임,게임,온라인게임,670000
게임,게임기,게임기,200000
관공서/단체,단체,자선단체,610000
교육/출판,강의,고등인강,200000
교육/출판,교육기관,사이버대학교,200000
교육/출판,교육기관,학점은행제,1770000
교육/출판,도서/교재,학습지,200000
교육/출판,시험,공무원시험,980000
교육/출판,시험,공인중개사,390000
교육/출판,시험,보육교사,220000
교육/출판,시험,사회복지사,780000
교육/출판,시험,수능,420000
교육/출판,시험,주택관리사,260000
교육/출판,시험,청소년지도사,210000
교육/출판,시험,한국사,1430000
교육/출판,시험,한국어교원자격증,200000
교육/출판,외국어,어린이영어,200000
교육/출판,외국어,영어회화,370000
교육/출판,외국어,중국어,450000
교육/출판,외국어,화상영어,380000
금융,금융기관,증권사,5240000
금융,금융상품,간병치매보험,800000
금융,금융상품,다이렉트인보험,1900000
금융,금융상품,다이렉트자동차보험,1800000
금융,금융상품,담보대출,1660000
금융,금융상품,보험일반,2600000
금융,금융상품,신용대출,400000
금융,금융상품,실비보험,810000
