
서칭뷰 키워드그룹 : 회차별 입찰 정보
조회일자:20260526

! 각 키워드그룹의 집행회차 별 입찰 스케줄 정보입니다.
! 조회 시점에 입찰기간 혹은 발표일에 해당하는 회차에 대해서만 조회가 가능합니다.
! 키워드 그룹별 세부키워드 리스트는 집행 회차별로 변경될 수 있으니 각 회차별 키워드셋을 참고해주시기 바랍니다.

! 기준조회수는 각 회차별 입찰 개시일 직전 30일 간의 PC 조회수를 기반으로 산출하며 해당 기간의 7일 평균 조회수를 반영하여 계산됩니다.
! '기준조회수' = '직전 30일 조회수' x '(7일/30일)'
! 기준조회수는 참고 자료이며 실제 집행 기간 동안 키워드의 노출수를 보장하지는 않습니다. 

! 입찰 결과 발표는 발표일 오전 9시이며 일부 지연이 있을 수 있습니다.
! 모든 낙찰건은 결과 발표 당일 내에 캠페인 등록을 완료해야 합니다.

! 공실구좌는 조회 시점 기준의 공실구좌이며 매일 자정 업데이트됩니다.
! 정기 입찰 결과 발표 후 재입찰 기간 중에 공실 구좌가 발생한 경우에 한하여 재입찰 결과 발표를 진행합니다.

집행회차,집행기간,대분류,소분류,키워드그룹,기준조회수,최저입찰가,정기입찰기간,정기입찰발표,재입찰기간,재입찰발표,입찰가능여부,현재공실구좌
202623,20260601~20260607,가구/인테리어,가구,모션데스크,3790,310000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,가구,사이드테이블,2313,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,가구,선반,8036,650000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,가구,소파,21670,1740000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,가구,식탁,16313,1310000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,가구,책상및책장,17288,1390000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,가구,침대및매트리스,46289,3710000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어,마루,2541,210000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어,베개,9826,790000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어,블라인드,26715,2140000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어,슬라이딩도어,2495,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어,어닝/파고라,2315,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어,인조잔디,2189,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어,인테리어,9772,790000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어,조명,5542,450000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어,커튼,9819,790000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어,토퍼,4994,400000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어,폴딩도어,2434,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,건설/부동산,건설사,건설사일반,4448,360000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,건설/부동산,주택,아파트,16156,1300000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,게임,게임,FPS,1291,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,게임,게임,RPG,5978,540000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,게임,게임,VR,325,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,게임,게임,모바일게임,5906,480000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,게임,게임,온라인게임,8456,680000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,게임,게임기,게임기,1844,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,관공서/단체,단체,자선단체,6781,620000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,강의,고등인강,446,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,교육기관,사이버대학교,2035,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,교육기관,학점은행제,25114,2010000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,도서/교재,학습지,831,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,시험,공무원시험,11809,950000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,시험,공인중개사,4844,390000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,시험,보육교사,2296,230000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,시험,사회복지사,10038,810000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,시험,수능,5348,430000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,시험,주택관리사,2679,220000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,시험,청소년지도사,2632,220000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,시험,한국사,16621,1330000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,시험,한국어교원자격증,1531,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,외국어,어린이영어,402,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,외국어,영어회화,3981,360000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,외국어,중국어,5477,440000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,교육/출판,외국어,화상영어,4604,370000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융기관,증권사,52967,4240000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,간병치매보험,4156,340000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,다이렉트인보험,3654,330000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,다이렉트자동차보험,8643,870000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,담보대출,21411,1720000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,보험일반,6788,620000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,신용대출,4991,400000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,실비보험,10064,810000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,아이보험,5390,440000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,암보험,3062,280000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,여행자보험,14698,1180000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,연금보험/저축,18534,1670000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,오토바이운전자보험,273,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,운전자보험,3547,360000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,유병자보험,759,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,자동차보험,27991,2520000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,종신/정기보험,1424,200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,주택보험,4898,450000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,금융,금융상품,치아보험,2845,260000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
