서칭뷰 키워드그룹 : 최근낙찰가,,,
조회일자:20260120,,,
,,,
! 각 키워드 그룹의 조회 시점 기준으로 가장 최근에 결과가 발표된 정기입찰 건의 낙찰가 입니다.,,,
,,,
대분류,소분류,키워드그룹,최근낙찰가
가구/인테리어,가구,모션데스크,370000
가구/인테리어,가구,사이드테이블,210000
가구/인테리어,가구,선반,720000
가구/인테리어,가구,소파,1270000
가구/인테리어,가구,식탁,1290000
가구/인테리어,가구,책상및책장,1500000
가구/인테리어,가구,침대및매트리스,3600000
가구/인테리어,인테리어,마루,200000
가구/인테리어,인테리어,베개,790000
가구/인테리어,인테리어,블라인드,2800000
가구/인테리어,인테리어,슬라이딩도어,230000
가구/인테리어,인테리어,어닝/파고라,200000
가구/인테리어,인테리어,인조잔디,200000
가구/인테리어,인테리어,인테리어,780000
가구/인테리어,인테리어,조명,510000
가구/인테리어,인테리어,커튼,790000
가구/인테리어,인테리어,토퍼,440000
가구/인테리어,인테리어,폴딩도어,200000
건설/부동산,건설사,건설사일반,370000
건설/부동산,주택,아파트,1260000
게임,게임,FPS,200000
게임,게임,RPG,570000
게임,게임,VR,200000
게임,게임,모바일게임,530000
게임,게임,온라인게임,810000
게임,게임기,게임기,200000
관공서/단체,단체,자선단체,1010000
교육/출판,강의,고등인강,200000
교육/출판,교육기관,사이버대학교,720000
교육/출판,교육기관,학점은행제,2960000
교육/출판,도서/교재,학습지,200000
교육/출판,시험,공무원시험,1400000
교육/출판,시험,공인중개사,510000
교육/출판,시험,보육교사,300000
교육/출판,시험,사회복지사,1600000
교육/출판,시험,수능,560000
교육/출판,시험,주택관리사,310000
교육/출판,시험,청소년지도사,250000
교육/출판,시험,한국사,1440000
교육/출판,시험,한국어교원자격증,200000
교육/출판,외국어,어린이영어,200000
교육/출판,외국어,영어회화,450000
교육/출판,외국어,중국어,510000
교육/출판,외국어,화상영어,280000
금융,금융기관,증권사,3170000
금융,금융상품,간병치매보험,390000
금융,금융상품,다이렉트인보험,400000
금융,금융상품,다이렉트자동차보험,2870000
금융,금융상품,담보대출,2210000
금융,금융상품,보험일반,760000
금융,금융상품,신용대출,450000
금융,금융상품,실비보험,760000
금융,금융상품,아이보험,380000
금융,금융상품,암보험,4135000
금융,금융상품,여행자보험,1460000
금융,금융상품,연금보험/저축,2900000
금융,금융상품,오토바이운전자보험,200000
금융,금융상품,운전자보험,1290000
금융,금융상품,유병자보험,200000
금융,금융상품,자동차보험,5171000
금융,금융상품,종신/정기보험,200000
금융,금융상품,주택보험,330000
금융,금융상품,치아보험,710000
금융,금융상품,펫보험,290000
금융,금융서비스,가상화폐,27190000
금융,금융서비스,간편결제,200000
금융,금융서비스,자동차금융,780000
금융,금융서비스,재테크,240000
금융,금융서비스,핀테크,200000
금융,카드,신용카드,540000
기타,기타,다이어트,280000
기타,기타,창업/프랜차이즈,270000
기타,기타,카페창업,200000
기타,선물,가족선물,4940000
기타,선물,어린이선물,260000
기타,선물,크리스마스선물,1180000
생활/가정,공구,멀티탭,960000
생활/가정,공구,방수,200000
생활/가정,공구,송풍기,280000
생활/가정,문구/사무용품,명함,1190000
생활/가정,문구/사무용품,사무기기,200000
생활/가정,문구/사무용품,스티커,620000
생활/가정,문구/사무용품,전자칠판,200000
생활/가정,문구/사무용품,테이블오더,200000
생활/가정,문구/사무용품,포스기,200000
생활/가정,문구/사무용품,현수막,1000000
생활/가정,미용/위생용품,구강청결제,200000
생활/가정,미용/위생용품,마스크,430000
생활/가정,미용/위생용품,물티슈,520000
생활/가정,미용/위생용품,생리대,210000
생활/가정,미용/위생용품,세제/섬유유연제,480000
생활/가정,미용/위생용품,치약,710000
생활/가정,미용/위생용품,칫솔,370000
생활/가정,미용/위생용품,칫솔살균기,240000
생활/가정,반려동물,반려견분양,200000
생활/가정,반려동물,반려묘분양,200000
생활/가정,반려동물,사료,290000
생활/가정,보안용품,CCTV,660000
생활/가정,생활용품,제습제,200000
생활/가정,악기,피아노,380000
생활/가정,주방용품,냄비,280000
생활/가정,주방용품,도마,250000
생활/가정,주방용품,밀폐용기,290000
생활/가정,주방용품,식기건조대,220000
생활/가정,주방용품,식기세척기세제,200000
생활/가정,주방용품,앞치마,400000
생활/가정,주방용품,주방칼/가위,200000
생활/가정,주방용품,키친타올,200000
생활/가정,주방용품,프라이팬,290000
생활/가정,차량용품,엔진오일,360000
생활/가정,차량용품,자동차썬팅,200000
생활/가정,차량용품,전기차충전기,200000
생활/가정,차량용품,차량용방향제,450000
생활/가정,차량용품,타이어,730000
생활/가정,출산/육아,기저귀,300000
생활/가정,출산/육아,바디제품,200000
생활/가정,출산/육아,분유/이유식,200000
서비스,결혼,결혼식,900000
서비스,결혼,결혼정보업체,240000
서비스,구독서비스,전자책,280000
서비스,구인구직,아르바이트,1220000
서비스,구인구직,채용,980000
서비스,구인구직,프리랜서,200000
서비스,기업서비스,복리후생,200000
서비스,렌트카,렌트카,3320000
서비스,법률서비스,법률상담1,4480000
서비스,법률서비스,법률상담2,3140000
서비스,숙박,게스트하우스,580000
서비스,숙박,숙박예약,1010000
서비스,여가,나들이,710000
서비스,여가,스키장,1130000
서비스,여행,ESIM,2310000
서비스,여행,남태평양,420000
서비스,여행,여행사,840000
서비스,여행,유심,980000
서비스,여행,제주도여행,690000
서비스,여행,펜션,230000
서비스,여행,항공권,9810000
서비스,여행,해외여행(동남아지역),1330000
서비스,여행,해외여행(동유럽),300000
서비스,여행,해외여행(미국),220000
서비스,여행,해외여행(북유럽),200000
서비스,여행,해외여행(서유럽),950000
서비스,여행,해외여행(유럽),200000
서비스,여행,해외여행(일본),3340000
서비스,여행,해외여행(중국지역),1940000
서비스,여행,해외여행(캐나다),200000
서비스,여행,해외여행(호주),270000
서비스,운송,용달이사,200000
서비스,운송,원룸이사,200000
서비스,운송,포장이사,460000
서비스,전문서비스,갤러리,200000
서비스,전문서비스,공유오피스,200000
서비스,전문서비스,부동산,3600000
서비스,전문서비스,상표등록,310000
서비스,전문서비스,세금환급조회,200000
서비스,전문서비스,세무사,370000
서비스,전문서비스,양도세계산,470000
서비스,전문서비스,에어컨청소,200000
서비스,전문서비스,원산지관리서비스,200000
서비스,전문서비스,종합소득세신고,1130000
서비스,전문서비스,퀵서비스,300000
서비스,전문서비스,홈페이지제작,440000
서비스,전문서비스,회계사,200000
스포츠/레저,스포츠,골프,960000
스포츠/레저,스포츠,골프거리측정기,200000
스포츠/레저,스포츠,골프스윙연습기,200000
스포츠/레저,스포츠,농구,840000
스포츠/레저,스포츠,축구,570000
스포츠/레저,아웃도어,등산스틱,200000
스포츠/레저,아웃도어,등산화,210000
스포츠/레저,아웃도어,아웃도어/등산복,200000
스포츠/레저,운동기구/용품,런닝머신,310000
스포츠/레저,운동기구/용품,무릎보호대,230000
스포츠/레저,운동기구/용품,손목보호대,200000
스포츠/레저,자전거,자전거,870000
스포츠/레저,캠핑,에어매트,200000
스포츠/레저,캠핑,에어텐트,200000
스포츠/레저,캠핑,텐트,240000
스포츠/레저,퍼스널모빌리티,전동킥보드,200000
식음료,건강식품,난각막,200000
식음료,건강식품,먹는콜라겐,360000
식음료,건강식품,숙취해소제,200000
식음료,건강식품,아르기닌,620000
식음료,과자류,과자,490000
식음료,과자류,아이스크림,540000
식음료,과자류,초콜릿,390000
식음료,식품,그래놀라,200000
식음료,식품,돈까스,450000
식음료,식품,라면,620000
식음료,식품,소시지,200000
식음료,식품,시리얼,200000
식음료,식품,카레,240000
식음료,식품,쿠킹박스,310000
식음료,외식프랜차이즈,초밥,460000
식음료,외식프랜차이즈,치킨,540000
식음료,외식프랜차이즈,피자,330000
식음료,외식프랜차이즈,햄버거,270000
식음료,음료,생수,580000
식음료,음료,요거트,430000
식음료,음료,우유,200000
식음료,음료,커피,1030000
영상/공연,방송,드라마,3530000
영상/공연,영화,영화,8940000
유통,쇼핑몰,면세점,1100000
유통,쇼핑몰,쇼핑몰창업,200000
유통,쇼핑몰,신선식품쇼핑몰,200000
유통,쇼핑몰,전자제품쇼핑몰,200000
유통,쇼핑몰,패션쇼핑몰,200000
자동차,자동차,SUV,920000
자동차,자동차,세단,210000
자동차,자동차,전기차,1280000
자동차,자동차,중고차,3760000
자동차,자동차,픽업트럭,230000
자동차,자동차,하이브리드,310000
전자/가전,AI/무전기기,로봇,200000
전자/가전,PC/주변기기,27인치모니터,240000
전자/가전,PC/주변기기,32인치모니터,200000
전자/가전,PC/주변기기,게이밍모니터,200000
전자/가전,PC/주변기기,노트북,2620000
전자/가전,PC/주변기기,마우스,1280000
전자/가전,PC/주변기기,모니터암,640000
전자/가전,PC/주변기기,키보드,2750000
전자/가전,PC/주변기기,태블릿PC,390000
전자/가전,PC/주변기기,프린터/복합기,720000
전자/가전,PC/주변기기,휴대용모니터,200000
전자/가전,건강가전,마사지기,530000
전자/가전,건강가전,안마의자,370000
전자/가전,계절가전,가습기,2640000
전자/가전,계절가전,보일러,540000
전자/가전,계절가전,선풍기/써큘레이터,210000
전자/가전,계절가전,에어컨,590000
전자/가전,계절가전,전기요,360000
전자/가전,계절가전,전기장판,1030000
전자/가전,계절가전,제습기,260000
전자/가전,미용/위생가전,구강세정기,200000
전자/가전,미용/위생가전,드라이기,520000
전자/가전,미용/위생가전,면도기,470000
전자/가전,미용/위생가전,뷰티디바이스,360000
전자/가전,미용/위생가전,비데,600000
전자/가전,미용/위생가전,전동칫솔,200000
전자/가전,미용/위생가전,전해수기,200000
전자/가전,미용/위생가전,피지흡입기,200000
전자/가전,생활가전,공기청정기,720000
전자/가전,생활가전,다리미,200000
전자/가전,생활가전,로봇청소기,510000
전자/가전,생활가전,세탁기,710000
전자/가전,생활가전,소형공기청정기,200000
전자/가전,생활가전,의류건조기,330000
전자/가전,생활가전,의류청정기,200000
전자/가전,생활가전,청소기,1440000
전자/가전,생활가전,초음파세척기,200000
전자/가전,영상가전,TV,1210000
전자/가전,영상가전,빔프로젝터,370000
전자/가전,음향기기,스피커,2560000
전자/가전,음향기기,이어폰,1150000
전자/가전,음향기기,턴테이블,200000
전자/가전,인공지능,인공지능스피커,200000
전자/가전,자동차기기,블랙박스,440000
전자/가전,자동차기기,차량용공기청정기,200000
전자/가전,자동차기기,차량용청소기,220000
전자/가전,주방가전,김치냉장고,420000
전자/가전,주방가전,냉장고,940000
전자/가전,주방가전,녹즙기,200000
전자/가전,주방가전,무선주전자,200000
전자/가전,주방가전,믹서기,410000
전자/가전,주방가전,식기건조기,200000
전자/가전,주방가전,식기세척기,360000
전자/가전,주방가전,압력솥,410000
전자/가전,주방가전,오븐,270000
전자/가전,주방가전,음식물처리기,640000
전자/가전,주방가전,인덕션,640000
전자/가전,주방가전,정수기,970000
전자/가전,주방가전,제빙기,200000
전자/가전,주방가전,커피머신,1080000
전자/가전,카메라/캠코더,바디캠,200000
전자/가전,카메라/캠코더,액션캠,200000
전자/가전,카메라/캠코더,카메라,520000
전자/가전,통신사,IPTV,350000
전자/가전,통신사,모바일요금제,200000
전자/가전,통신사,알뜰폰/MVNO,2270000
전자/가전,통신사,인터넷요금제,440000
전자/가전,휴대폰/액세서리,보조배터리,810000
전자/가전,휴대폰/액세서리,스마트밴드,230000
전자/가전,휴대폰/액세서리,애플워치스트랩,230000
전자/가전,휴대폰/액세서리,휴대폰/스마트폰,300000
제약/건강,건강보조식품,갱년기영양제,200000
제약/건강,건강보조식품,관절영양제,200000
제약/건강,건강보조식품,눈영양제,470000
제약/건강,건강보조식품,다이어트보조제,420000
제약/건강,건강보조식품,밀크씨슬,380000
제약/건강,건강보조식품,보스웰리아,200000
제약/건강,건강보조식품,비타민,1090000
제약/건강,건강보조식품,비타민D,590000
제약/건강,건강보조식품,어린이영양제,200000
제약/건강,건강보조식품,오메가3,1000000
제약/건강,건강보조식품,유산균,880000
제약/건강,건강보조식품,키성장영양제,200000
제약/건강,건강보조식품,폴리코사놀,200000
제약/건강,건강보조식품,한방건강식품,210000
제약/건강,건강보조식품,홍삼,470000
제약/건강,의료기기,임플란트,300000
제약/건강,제약,감기약,1070000
제약/건강,제약,갱년기약,230000
제약/건강,제약,구강질환치료제,260000
제약/건강,제약,눈세정제,200000
제약/건강,제약,렌즈,200000
제약/건강,제약,무좀약,200000
제약/건강,제약,변비약,200000
제약/건강,제약,복통약,230000
제약/건강,제약,비염,240000
제약/건강,제약,상처치료제,200000
제약/건강,제약,소화제,200000
제약/건강,제약,알레르기약,200000
제약/건강,제약,어린이감기약,360000
제약/건강,제약,여드름연고,510000
제약/건강,제약,위장약,200000
제약/건강,제약,인후통약,200000
제약/건강,제약,잇몸약,310000
제약/건강,제약,전립선약,250000
제약/건강,제약,정맥순환개선제,200000
제약/건강,제약,진통제,200000
제약/건강,제약,치질,300000
제약/건강,제약,탈모,510000
제약/건강,제약,파스,650000
제약/건강,제약,피로회복제,200000
제약/건강,제약,피부염,450000
제약/건강,제약,흉터치료제,200000
패션,명품,명품가방,230000
패션,명품,명품시계,200000
패션,명품,명품주얼리,270000
패션,언더웨어,여성속옷,400000
패션,의류,스트릿패션,200000
패션,의류,요가필라테스복,200000
패션,의류,정장,420000
패션,의류,청바지,200000
패션,의류,패딩,1830000
패션,잡화,가발,200000
패션,잡화,가방,1490000
패션,잡화,방한화,440000
패션,잡화,선글라스,210000
패션,잡화,안경,660000
패션,잡화,안전화,440000
패션,잡화,여행가방/캐리어,1210000
패션,잡화,운동화,1150000
패션,잡화,주얼리,410000
화장품,기능성화장품,미백크림,200000
화장품,기능성화장품,안티에이징크림,200000
화장품,기능성화장품,자외선차단,220000
화장품,기초화장품,마스크팩,390000
화장품,기초화장품,수분크림/로션,250000
화장품,기초화장품,아이크림,240000
화장품,기초화장품,앰플/세럼,270000
화장품,기초화장품,에센스,200000
화장품,기초화장품,토너/스킨,200000
화장품,남성화장품,남성라인,200000
화장품,네일케어,네일아트,200000
화장품,바디케어,데오드란트,200000
화장품,바디케어,바디로션/크림,360000
화장품,바디케어,바디워시,380000
화장품,색조화장품,립스틱/틴트/립글로스,200000
화장품,색조화장품,립케어,260000
화장품,색조화장품,메이크업베이스,200000
화장품,색조화장품,파운데이션,200000
화장품,색조화장품,팩트,200000
화장품,샴푸,샴푸,290000
화장품,샴푸,탈모샴푸,290000
화장품,클렌징,세안제품,310000
화장품,향수,향수,450000
