
신제품검색 키워드그룹 : 최근낙찰가
조회일자:20260303

! 각 키워드 그룹의 조회 시점 기준으로 가장 최근에 결과가 발표된 정기입찰 건의 낙찰가 입니다.

대분류,소분류,키워드그룹,최근낙찰가
가구/인테리어,거실가구,1인용리클라이너,390000
가구/인테리어,거실가구,1인용쇼파,970000
가구/인테리어,거실가구,3인용쇼파,610000
가구/인테리어,거실가구,4인용쇼파,370000
가구/인테리어,거실가구,TV다이,340000
가구/인테리어,거실가구,가죽쇼파,600000
가구/인테리어,거실가구,거실장,400000
가구/인테리어,거실가구,거실테이블,520000
가구/인테리어,거실가구,리클라이너,410000
가구/인테리어,거실가구,리클라이너쇼파,610000
가구/인테리어,거실가구,모듈쇼파,160000
가구/인테리어,거실가구,모션쇼파,160000
가구/인테리어,거실가구,사이드테이블,360000
가구/인테리어,거실가구,쇼파,2140000
가구/인테리어,거실가구,스툴,290000
가구/인테리어,거실가구,원목의자,140000
가구/인테리어,거실가구,원목테이블,150000
가구/인테리어,거실가구,테이블,310000
가구/인테리어,거실가구,패브릭쇼파,280000
가구/인테리어,서재가구,3단서랍장,200000
가구/인테리어,서재가구,게이밍의자,450000
가구/인테리어,서재가구,모션데스크,730000
가구/인테리어,서재가구,발받침대,230000
가구/인테리어,서재가구,사무용의자,270000
가구/인테리어,서재가구,스탠딩책상,110000
가구/인테리어,서재가구,아크릴가림막,100000
가구/인테리어,서재가구,원목책상,110000
가구/인테리어,서재가구,의자,880000
가구/인테리어,서재가구,자세교정의자,100000
가구/인테리어,서재가구,좌식의자,260000
가구/인테리어,서재가구,책상,1090000
가구/인테리어,서재가구,책상서랍장,100000
가구/인테리어,서재가구,책상세트,100000
가구/인테리어,서재가구,책상의자,300000
가구/인테리어,서재가구,책장,770000
가구/인테리어,서재가구,컴퓨터의자,370000
가구/인테리어,서재가구,컴퓨터책상,670000
가구/인테리어,서재가구,학생의자,110000
가구/인테리어,서재가구,학생책상,100000
가구/인테리어,서재가구,회전책장,480000
가구/인테리어,수납가구,로봇청소기수납장,160000
가구/인테리어,수납가구,선반,540000
가구/인테리어,수납가구,세탁기선반,100000
가구/인테리어,수납가구,수납장,720000
가구/인테리어,수납가구,스탠드옷걸이,390000
가구/인테리어,수납가구,시스템행거,740000
가구/인테리어,수납가구,옷걸이봉,170000
