
신제품검색 키워드그룹 : 회차별 입찰 정보
조회일자:20260120

! 각 키워드그룹의 집행회차 별 입찰 스케줄 정보입니다.
! 조회 시점에 입찰기간 혹은 발표일에 해당하는 회차에 대해서만 조회가 가능합니다.
! 키워드 그룹별 세부키워드 리스트는 집행 회차별로 변경될 수 있으니 각 회차별 키워드셋을 참고해주시기 바랍니다.

! 기준조회수는 각 회차별 입찰 개시일 직전 30일 간의 모바일 조회수를 기반으로 산출하며 해당 기간의 7일 평균 조회수와 입찰이 열린 구좌수를 반영하여 계산됩니다.
! '기준조회수' = '직전 30일 조회수' x '(7일/30일)' / 'N구좌'
! 기준조회수는 참고 자료이며 실제 집행 기간 동안 키워드의 노출수를 보장하지는 않습니다. 

! 입찰 결과 발표는 발표일 오전 9시이며 일부 지연이 있을 수 있습니다.
! 모든 낙찰건은 결과 발표 당일 내에 캠페인 등록을 완료해야 합니다.

! 공실구좌는 조회 시점 기준의 공실구좌이며 매일 자정 업데이트됩니다.
! 정기 입찰 결과 발표 후 재입찰 기간 중에 공실 구좌가 발생한 경우에 한하여 재입찰 결과 발표를 진행합니다.

집행회차,집행기간,대분류,소분류,키워드그룹,기준조회수,최저입찰가,정기입찰기간,정기입찰발표,재입찰기간,재입찰발표,입찰가능여부,현재공실구좌
20260129,20260129~20260204,기념일,기념일,설날,47497,6450000,20260109~20260114,20260115,20260116~20260121,20260122,입찰가능,0
20260201,20260201~20260207,기념일,기념일,발렌타인데이,4344,7010000,20260113~20260118,20260119,20260120~20260125,20260126,입찰가능,1
20260205,20260205~20260211,기념일,기념일,설날,55299,8630000,20260116~20260121,20260122,20260123~20260128,20260129,입찰가능,2
20260208,20260208~20260214,기념일,기념일,발렌타인데이,7313,13400000,20260120~20260125,20260126,20260127~20260201,20260202,입찰가능,2
202605,20260126~20260201,가구/인테리어,거실가구,1인용리클라이너,2665,320000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,거실가구,1인용쇼파,7194,870000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,거실가구,3인용쇼파,4853,590000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,거실가구,4인용쇼파,3027,370000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,거실가구,TV다이,2949,360000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,거실가구,가죽쇼파,2771,560000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,거실가구,거실장,3371,410000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,거실가구,거실테이블,4297,520000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,거실가구,리클라이너,5327,640000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,거실가구,리클라이너쇼파,4717,570000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,거실가구,모듈쇼파,1119,140000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,거실가구,모션쇼파,1078,130000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,거실가구,사이드테이블,3057,370000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,서재가구,3단서랍장,1547,190000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,서재가구,게이밍의자,3625,440000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,서재가구,모션데스크,5198,630000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,서재가구,발받침대,1810,220000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,서재가구,사무용의자,2324,280000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,수납가구,로봇청소기수납장,1379,170000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,수납가구,선반,4533,550000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,인테리어소품,LED벽시계,1055,130000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,인테리어소품,LED시계,1034,130000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,인테리어소품,가림막커튼,1875,230000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,인테리어소품,거실러그,1995,240000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,인테리어소품,거실매트,3236,390000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,인테리어소품,거실커튼,3278,400000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,인테리어소품,규조토발매트,2152,260000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,인테리어소품,등받이쿠션,2856,350000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,인테리어소품,러그,6132,740000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,인테리어소품,롤매트,1675,210000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,인테리어소품,롤스크린,825,100000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
202605,20260126~20260201,가구/인테리어,인테리어소품,무소음벽시계,1026,130000,20260106~20260112,20260113,20260114~20260119,20260120,입찰기간종료,0
